base_feature,direction,liquidity_threshold,vol_adjust,rank_ic,nw_t_stat,count
return_1d,reversal,0.0,False,0.008855310208467967,1.6066510896151527,2098.0
return_1d,reversal,0.0,True,0.008456679627927715,1.5416087209792406,2096.0
return_1d,reversal,0.4,False,0.01047894647755817,1.6128899903614675,2086.0
return_1d,reversal,0.4,True,0.011103665841555123,1.7484676965139463,2084.0
return_1d,reversal,0.6,False,0.013880754192475253,1.7603171704565133,2068.0
return_1d,reversal,0.6,True,0.014414414725096782,1.8957142048899327,2066.0
return_5d,reversal,0.0,False,0.019608980905241564,2.149403700152562,2098.0
return_5d,reversal,0.0,True,0.018187766797910176,1.9926750248177523,2096.0
return_5d,reversal,0.4,False,0.01971660009199959,1.9592966723356744,2086.0
return_5d,reversal,0.4,True,0.019226497963061934,1.9277190992464086,2084.0
return_5d,reversal,0.6,False,0.022787059704715278,2.028175763731002,2068.0
return_5d,reversal,0.6,True,0.021664224779336494,1.9627349077467051,2066.0
momentum_21d,momentum,0.0,False,-0.012290268343563324,-1.2896320515007782,2096.0
momentum_21d,momentum,0.0,True,-0.01041969926629345,-1.0969211898552684,2096.0
momentum_21d,momentum,0.4,False,-0.01016305436471949,-0.942894902888019,2084.0
momentum_21d,momentum,0.4,True,-0.007753245595308532,-0.733657011708368,2084.0
momentum_21d,momentum,0.6,False,-0.018745847931248727,-1.564937682844216,2066.0
momentum_21d,momentum,0.6,True,-0.021380033125333767,-1.810390449113571,2066.0
residual_1d_return,reversal,0.0,False,0.005210701923936197,0.9427971793805641,2057.0
residual_1d_return,reversal,0.0,True,0.004980252496667306,0.9147020875157289,2057.0
residual_1d_return,reversal,0.4,False,0.005715629938963285,0.8698932449214732,2045.0
residual_1d_return,reversal,0.4,True,0.005971790483193617,0.9344419534310477,2045.0
residual_1d_return,reversal,0.6,False,0.010682023255565408,1.3506843377748152,2027.0
residual_1d_return,reversal,0.6,True,0.01030691255446186,1.3692467143780866,2027.0
